                           Z                           N                  exp_values               uncertainties                c_parameters                       error
                          15                          22     -0.3058901910000000E+03      0.3796200000000000E-01     -0.3204055476711949E+03      0.1775299592737731E-06
                          15                          23     -0.3095870680000000E+03      0.7258000000000001E-01     -0.3297680179798771E+03      0.2772879184065154E-06
                          15                          24     -0.3158114470000000E+03      0.1126320000000000E+00     -0.3331713883731331E+03      0.2033057739442062E-06
                          15                          25     -0.3192224960000000E+03      0.1536000000000000E+00     -0.3425338586818153E+03      0.2892611437331560E-06
                          15                          26     -0.3241592470000000E+03      0.1201710000000000E+00     -0.3532003057985953E+03      0.2001570972657141E-06
                          15                          27     -0.3262410280000000E+03      0.3143700000000000E+00     -0.3552996993837535E+03      0.3137683112115834E-06
                          15                          28     -0.3306422520000000E+03      0.5547000000000000E+00     -0.3659661465005335E+03      0.2398642105550245E-06
                          15                          29     -0.3329386560000000E+03      0.4840000000000000E+00     -0.3680655400856916E+03      0.3481726888118666E-06
                          15                          30     -0.3358706560000000E+03      0.4950000000000000E+00     -0.3714689104789477E+03      0.3446056255488727E-06
                          15                          31     -0.3365726560000000E+03      0.6899999999999999E+00     -0.3808313807876299E+03      0.3898628138404085E-06
                          15                          32     -0.3379206560000000E+03      0.7990000000000000E+00     -0.3842347511808859E+03      0.4006867673231501E-06
                          16                          10     -0.1702370970000000E+03      0.5980000000000000E+00     -0.2092615564790081E+03      0.2342724743022366E-06
                          16                          11     -0.1883680970000000E+03      0.4050000000000000E+00     -0.2258871035112142E+03      0.1866050324971129E-06
                          16                          12     -0.2093952170000000E+03      0.1599920000000000E+00     -0.2365535506279943E+03      0.2074206021229265E-06
                          16                          13     -0.2246961770000000E+03      0.4999600000000000E-01     -0.2459160209366764E+03      0.1821952329759184E-06
                          16                          14     -0.2436703070000000E+03      0.2100000000000000E-03     -0.2565824680534565E+03      0.2016879706357658E-06
                          16                          15     -0.2567248970000000E+03      0.2170000000000000E-03     -0.2659449383621387E+03      0.1783579009468642E-06
                          16                          16     -0.2717692250000000E+03      0.1000000000000000E-05     -0.2766113854789187E+03      0.1964065731039349E-06
                          16                          17     -0.2804108870000000E+03      0.1000000000000000E-05     -0.2859738557876008E+03      0.1751306708898111E-06
                          16                          18     -0.2918280290000000E+03      0.3400000000000000E-04     -0.2966403029043809E+03      0.1916137248811024E-06
                          16                          19     -0.2988138470000000E+03      0.3500000000000000E-04     -0.3060027732130631E+03      0.1725477791441572E-06
                          16                          20     -0.3087031010000000E+03      0.1800000000000000E-03     -0.3166692203298431E+03      0.1873469250142951E-06
                          16                          21     -0.3130066920000000E+03      0.1850000000000000E-03     -0.3260316906385252E+03      0.1706384875518066E-06
                          16                          22     -0.3210428130000000E+03      0.7182000000000000E-02     -0.3366981377553053E+03      0.1836428441484575E-06
