                           Z                           N                  exp_values               uncertainties                c_parameters                       error
                          13                           8     -0.1323353640000000E+03      0.5880000000000000E+00     -0.1631206890286461E+03      0.2165695556371853E-06
                          13                           9     -0.1491973640000000E+03      0.3960000000000000E+00     -0.1797462360608522E+03      0.2863432239023403E-06
                          13                          10     -0.1687150850000000E+03      0.3450000000000000E-03     -0.1904126831776323E+03      0.1938357957930114E-06
                          13                          11     -0.1835833320000000E+03      0.2400000000000000E-03     -0.1997751534863144E+03      0.2842152768082192E-06
                          13                          12     -0.2005217640000000E+03      0.7499999999999999E-04     -0.2104416006030945E+03      0.1887836432939370E-06
                          13                          13     -0.2118872540000000E+03      0.7800000000000000E-04     -0.2198040709117766E+03      0.2825012892230426E-06
                          13                          14     -0.2249452950000000E+03      0.5400000000000000E-04     -0.2304705180285567E+03      0.1842525043658200E-06
                          13                          15     -0.2326703960000000E+03      0.8400000000000000E-04     -0.2398329883372388E+03      0.2812088305855834E-06
                          13                          16     -0.2420988200000000E+03      0.3480000000000000E-03     -0.2504994354540188E+03      0.1802816682304172E-06
                          13                          17     -0.2478272040000000E+03      0.2880000000000000E-02     -0.2598619057627010E+03      0.2803437310357824E-06
                          13                          18     -0.2549843910000000E+03      0.2232000000000000E-02     -0.2705283528794810E+03      0.1769088680081629E-06
                          13                          19     -0.2592043720000000E+03      0.7168000000000000E-02     -0.2726277464646392E+03      0.2803530121968137E-06
                          13                          20     -0.2646736920000000E+03      0.6996000000000000E-02     -0.2832941935814192E+03      0.1843783706655593E-06
                          13                          21     -0.2672479160000000E+03      0.3060000000000000E-02     -0.2926566638901014E+03      0.2793121660393321E-06
                          13                          22     -0.2725427040000000E+03      0.7350000000000000E-02     -0.2960600342833574E+03      0.2113980695886399E-06
                          13                          23     -0.2744399040000000E+03      0.1495080000000000E+00     -0.3054225045920396E+03      0.2927048251300114E-06
                          13                          24     -0.2786520190000000E+03      0.1802270000000000E+00     -0.3088258749852956E+03      0.2517499321737362E-06
                          13                          25     -0.2803230500000000E+03      0.3744520000000000E+00     -0.3181883452939778E+03      0.3183269820143400E-06
                          13                          26     -0.2839523640000000E+03      0.3900000000000000E+00     -0.3215917156872338E+03      0.3001033774223783E-06
                          13                          27     -0.2850733640000000E+03      0.4000000000000000E+00     -0.3309541859959160E+03      0.3535295526112148E-06
                          13                          28     -0.2873213640000000E+03      0.4920000000000000E+00     -0.3343575563891720E+03      0.3531871602965153E-06
                          13                          29     -0.2887013640000000E+03      0.5880000000000000E+00     -0.3364569499743301E+03      0.4455902770921396E-06
                          13                          30     -0.2898563640000000E+03      0.8169999999999999E+00     -0.3471233970911102E+03      0.4091643038236287E-06
                          14                           8     -0.1332680770000000E+03      0.5060000000000000E+00     -0.1723684602233916E+03      0.2460880816490563E-06
                          14                           9     -0.1509870770000000E+03      0.5060000000000000E+00     -0.1817309305320737E+03      0.2108680552109188E-06
                          14                          10     -0.1720056450000000E+03      0.1946400000000000E-01     -0.1996604543723778E+03      0.2169857477349145E-06
