                      Radius                ground state               first excited              second excited
      0.4686716791979935E+01     -0.4808806624220696E+02     -0.4243439623548770E+02     -0.3329965244717428E+02
      0.4706766917293217E+01     -0.4810275326898369E+02     -0.4249156975453506E+02     -0.3342201373351358E+02
      0.4726817042606500E+01     -0.4811727229151776E+02     -0.4254810733976076E+02     -0.3354309082101028E+02
      0.4746867167919783E+01     -0.4813162585139367E+02     -0.4260401819761277E+02     -0.3366290043410244E+02
      0.4766917293233066E+01     -0.4814581644257100E+02     -0.4265931137306288E+02     -0.3378145905776417E+02
      0.4786967418546348E+01     -0.4815984651242319E+02     -0.4271399575282293E+02     -0.3389878294054247E+02
      0.4807017543859631E+01     -0.4817371846281524E+02     -0.4276808006856381E+02     -0.3401488809754144E+02
      0.4827067669172914E+01     -0.4818743465107362E+02     -0.4282157290003848E+02     -0.3412979031348157E+02
      0.4847117794486197E+01     -0.4820099739098679E+02     -0.4287448267813072E+02     -0.3424350514568665E+02
      0.4867167919799479E+01     -0.4821440895371745E+02     -0.4292681768777818E+02     -0.3435604792707117E+02
      0.4887218045112762E+01     -0.4822767156881451E+02     -0.4297858607097265E+02     -0.3446743376919890E+02
      0.4907268170426045E+01     -0.4824078742504923E+02     -0.4302979582957479E+02     -0.3457767756523438E+02
      0.4927318295739328E+01     -0.4825375867133614E+02     -0.4308045482807012E+02     -0.3468679399295044E+02
      0.4947368421052611E+01     -0.4826658741757995E+02     -0.4313057079634670E+02     -0.3479479751766388E+02
      0.4967418546365893E+01     -0.4827927573554124E+02     -0.4318015133234376E+02     -0.3490170239523130E+02
      0.4987468671679176E+01     -0.4829182565962333E+02     -0.4322920390464365E+02     -0.3500752267494934E+02
      0.5007518796992459E+01     -0.4830423918770363E+02     -0.4327773585503605E+02     -0.3511227220247521E+02
      0.5027568922305742E+01     -0.4831651828187059E+02     -0.4332575440101382E+02     -0.3521596462272943E+02
      0.5047619047619024E+01     -0.4832866486925757E+02     -0.4337326663821206E+02     -0.3531861338276912E+02
      0.5067669172932307E+01     -0.4834068084272107E+02     -0.4342027954280639E+02     -0.3542023173461710E+02
      0.5087719298245590E+01     -0.4835256806157354E+02     -0.4346679997379380E+02     -0.3552083273811430E+02
      0.5107769423558873E+01     -0.4836432835232274E+02     -0.4351283467537186E+02     -0.3562042926368719E+02
      0.5127819548872155E+01     -0.4837596350932641E+02     -0.4355839027907589E+02     -0.3571903399513510E+02
      0.5147869674185438E+01     -0.4838747529549854E+02     -0.4360347330602941E+02     -0.3581665943238487E+02
      0.5167919799498721E+01     -0.4839886544293382E+02     -0.4364809016906535E+02     -0.3591331789418904E+02
      0.5187969924812004E+01     -0.4841013565355412E+02     -0.4369224717479879E+02     -0.3600902152081721E+02
      0.5208020050125286E+01     -0.4842128759975246E+02     -0.4373595052568532E+02     -0.3610378227671296E+02
      0.5228070175438569E+01     -0.4843232292498576E+02     -0.4377920632205078E+02     -0.3619761195312602E+02
      0.5248120300751852E+01     -0.4844324324437904E+02     -0.4382202056399125E+02     -0.3629052217071224E+02
      0.5268170426065135E+01     -0.4845405014530289E+02     -0.4386439915336049E+02     -0.3638252438210218E+02
      0.5288220551378418E+01     -0.4846474518793766E+02     -0.4390634789559492E+02     -0.3647362987442146E+02
      0.5308270676691700E+01     -0.4847532990584107E+02     -0.4394787250155888E+02     -0.3656384977181492E+02
      0.5328320802004983E+01     -0.4848580580647784E+02     -0.4398897858937435E+02     -0.3665319503792774E+02
      0.5348370927318266E+01     -0.4849617437174252E+02     -0.4402967168612246E+02     -0.3674167647830497E+02
      0.5368421052631549E+01     -0.4850643705848131E+02     -0.4406995722960497E+02     -0.3682930474284404E+02
      0.5388471177944831E+01     -0.4851659529902258E+02     -0.4410984057003226E+02     -0.3691609032818244E+02
      0.5408521303258114E+01     -0.4852665050162129E+02     -0.4414932697164703E+02     -0.3700204358000367E+02
      0.5428571428571397E+01     -0.4853660405096500E+02     -0.4418842161434935E+02     -0.3708717469537566E+02
      0.5448621553884680E+01     -0.4854645730865590E+02     -0.4422712959528347E+02     -0.3717149372505133E+02
      0.5468671679197962E+01     -0.4855621161365105E+02     -0.4426545593036615E+02     -0.3725501057568419E+02
      0.5488721804511245E+01     -0.4856586828270109E+02     -0.4430340555581277E+02     -0.3733773501208215E+02
      0.5508771929824528E+01     -0.4857542861082685E+02     -0.4434098332963031E+02     -0.3741967665939281E+02
      0.5528822055137811E+01     -0.4858489387170110E+02     -0.4437819403302718E+02     -0.3750084500523456E+02
      0.5548872180451093E+01     -0.4859426531810010E+02     -0.4441504237189116E+02     -0.3758124940186256E+02
      0.5568922305764376E+01     -0.4860354418230572E+02     -0.4445153297812025E+02     -0.3766089906824030E+02
      0.5588972431077659E+01     -0.4861273167649797E+02     -0.4448767041104044E+02     -0.3773980309212237E+02
      0.5609022556390942E+01     -0.4862182899313605E+02     -0.4452345915869009E+02     -0.3781797043206769E+02
      0.5629072681704224E+01     -0.4863083730536436E+02     -0.4455890363916149E+02     -0.3789540991946456E+02
      0.5649122807017507E+01     -0.4863975776737715E+02     -0.4459400820185606E+02     -0.3797213026050134E+02
      0.5669172932330790E+01     -0.4864859151477378E+02     -0.4462877712874278E+02     -0.3804814003812109E+02
      0.5689223057644073E+01     -0.4865733966491833E+02     -0.4466321463560320E+02     -0.3812344771391088E+02
      0.5709273182957356E+01     -0.4866600331729911E+02     -0.4469732487319322E+02     -0.3819806163000280E+02
      0.5729323308270638E+01     -0.4867458355385632E+02     -0.4473111192845239E+02     -0.3827199001096151E+02
